Supplier,Source,Brand,Category,Model,Product Name,Price,Currency,Stock,MOQ,Warranty,Notes,Date Added
Proks SIA,Price List,,General,WDS400T4B0E,WD SSD Blue SN5000 4TB NVMe M.2 PCIe Gen4.0,504.1,USD,20,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,WDS100T5B0E,SanDisk/WD SSD Blue SN5100 1TB NVMe M.2 PCIe Gen4.0,162.9,USD,30,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,WDS100T2X0E,WD SSD Black SN850X NVMe M.2 2280 1TB,221.9,USD,154,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,WDS200T2X0E,WD SSD Black SN850X NVMe M.2 2280 2TB,347.1,USD,80,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,WDS400T2X0E,WD SSD Black SN850X NVMe M.2 2280 4TB,525.3,USD,50,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,WDS100T4X0E,WD SSD Black SN7100 NVMe Gen 4 1TB,197.1,USD,120,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,WDS200T4X0E,WD SSD Black SN7100 NVMe Gen 4 2TB,289.2,USD,20,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,WDS400T4X0E,WD SSD Black SN7100 NVMe Gen 4 4TB,563.1,USD,10,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,PN,SSD EXT,0.0,USD,0,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MU-PE1T0S/EU,Samsung Portable SSD T7 Shield 1TB; USB 3.2; 1050 MB/s black,186.5,USD,5,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MU-PE2T0R/EU,Samsung Portable SSD T7 Shield 2TB; USB 3.2; 1050 MB/s blue,312.8,USD,20,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MU-PC1T0T/WW,Samsung Portable SSD T7 1TB; USB 3.2; 1050 MB/s TitanGrey,174.7,USD,45,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MU-PC2T0T/WW,Samsung Portable SSD T7 2TB; USB 3.2; 1050 MB/s TitanGrey,256.8,USD,80,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MU-PC1T0H/WW,Samsung Portable SSD T7 1TB; USB 3.2; 1050 MB/s Blue,173.5,USD,15,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MU-PC2T0H/WW,Samsung Portable SSD T7 2TB; USB 3.2; 1050 MB/s Blue,256.2,USD,25,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MU-PG1T0B/EU,Samsung Portable SSD T9 1TB; USB 3.2; 2000 MB/s Black,184.2,USD,27,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MU-PG2T0B/EU,Samsung Portable SSD T9 2TB; USB 3.2; 2000 MB/s Black,315.2,USD,60,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MU-PH2T0S/EU,Samsung Portable SSD T5 EVO 2TB; USB 3.2 Silver,208.9,USD,42,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MU-PE2T0S/WW,Samsung Portable SSD T7 Shield 2TB; USB 3.2; 1050 MB/s black,265.6,USD,4,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MU-PE2T0K/WW,Samsung Portable SSD T7 Shield 2TB; USB 3.2; 1050 MB/s beige,257.3,USD,30,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MU-PE2T0R/WW,Samsung Portable SSD T7 Shield 2TB; USB 3.2; 1050 MB/s blue,257.3,USD,4,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,SDSSDE30-2T00-G26,SanDisk 2TB Portable SSD USB 3.2,191.2,USD,76,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,SXS1000/1000G,Kingston 1TB XS1000 external SSD; 1050 MB/s; USB-C,116.9,USD,169,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,SXS1000/2000G,Kingston 2TB XS1000 external SSD; 1050 MB/s; USB-C,172.4,USD,4,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,SXS1000R/2000G,Kingston 2TB XS1000 external SSD; 1050 MB/s; USB-C; RED,183.0,USD,85,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,PN,Memory Cards (MCA),0.0,USD,0,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MB-MC128SA/EU,Samsung EVO Plus 128GB 160Mb/s microSD + adapter,19.5,USD,55,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MB-MC256SA/EU,Samsung EVO Plus 256GB 160Mb/s microSD + adapter,32.8,USD,119,NO,,Price DAP EU,02/03/2026
Proks SIA,Price List,,General,MB-MD128SA/EU,Samsung Pro Plus 128GB 180Mb/s microSD,24.3,USD,200,NO,,Price DAP EU,02/03/2026
